Customer ID,Name,Product Type,Year,RAM (GB),HDD (GB),Location,Warranty,Age,OS,Office,Antivirus,Service Taken,Ram Service,HDD Service,OS Update,Office Update,Antivirus Upgrade,Warranty Service,,,,,
502889,AADWAY SINHA,Desktop,2009,2,240,China,4,18,Windows 7,Office 2007,McAfee 2009,0,1,0,1,0,0,1,,,,,
449496,AADWAY SINHA,Desktop,2011,4,360,China,2,38,Windows 7,Office 2010,McAfee 2011,1,0,1,1,1,1,1,,,,,
998000,AADWAY SINHA,Workstation,2013,8,500,China,1,39,Windows 8.1,Office 2013,McAfee 2013,1,0,0,1,0,1,0,,,,,
976442,AADWAY SINHA,Laptop,2015,8,500,Russia,1,45,Windows 10,Office 2013,McAfee 2015,1,1,1,1,1,0,0,,,,,
651791,Aakash Jaiswal,Desktop,2011,4,360,India,5,18,Windows 7,Office 2010,McAfee 2011,1,0,1,0,0,1,0,,,,,
562585,Aakash Jaiswal,Laptop,2014,4,500,India,1,51,Windows 8.1,Office 2013,McAfee 2014,1,1,0,0,0,0,0,,,,,
501277,Aakash Jaiswal,Desktop,2015,16,500,India,4,29,Windows 10,Office 2013,McAfee 2015,0,0,0,0,0,1,0,,,,,
277112,Aakash Jaiswal,Laptop,2017,8,1000,India,3,36,Windows 10,Office 2016,McAfee 2017,0,0,0,1,0,1,0,,,,,
206951,AAMIR MUSHTAQ SIDDIQUI,Workstation,2010,2,240,India,3,57,Windows 7,Office 2010,McAfee 2010,1,1,0,0,0,1,0,,,,,
520661,AAMIR MUSHTAQ SIDDIQUI,Desktop,2012,8,360,UAE,5,54,Windows 8,Office 2010,McAfee 2012,1,0,1,0,1,1,0,,,,,
389459,AAMIR MUSHTAQ SIDDIQUI,Laptop,2013,4,500,India,5,42,Windows 8.1,Office 2013,McAfee 2013,1,1,0,0,0,1,0,,,,,
583537,AAMIR MUSHTAQ SIDDIQUI,Workstation,2018,8,1000,UAE,2,48,Windows 10,Office 2016,McAfee 2018,1,0,1,0,0,0,0,,,,,
405556,AAMIR MUSHTAQ SIDDIQUI,Laptop,2018,4,2000,UAE,4,32,Windows 10,Office 2016,McAfee 2018,0,1,0,0,0,0,0,,,,,
859224,AAMIR MUSHTAQ SIDDIQUI,Desktop,2015,2,500,UAE,2,37,Windows 10,Office 2013,McAfee 2015,1,0,1,1,1,0,0,,,,,
466797,AAMIR MUSHTAQ SIDDIQUI,Workstation,2013,4,500,India,4,33,Windows 8.1,Office 2013,McAfee 2013,1,1,0,1,0,0,1,,,,,
802174,AAMIR MUSHTAQ SIDDIQUI,Laptop,2017,8,1000,India,4,58,Windows 10,Office 2016,McAfee 2017,0,0,0,1,0,1,0,,,,,
970889,AAQUIL MAZHAR,Laptop,2009,2,180,UK,5,22,Windows 7,Office 2007,McAfee 2009,1,1,1,0,1,0,0,,,,,
448817,AAQUIL MAZHAR,Laptop,2010,4,240,UK,3,44,Windows 7,Office 2010,McAfee 2010,0,1,1,0,1,0,0,,,,,
633765,AAQUIL MAZHAR,Desktop,2014,4,500,USA,3,51,Windows 8.1,Office 2013,McAfee 2014,1,0,1,0,1,0,0,,,,,
863247,AAQUIL MAZHAR,Workstation,2017,4,1000,USA,1,22,Windows 10,Office 2016,McAfee 2017,0,1,0,0,0,0,0,,,,,
899928,AAQUIL MAZHAR,Desktop,2010,4,240,USA,1,23,Windows 7,Office 2010,McAfee 2010,1,0,1,1,1,0,0,,,,,
463780,AAQUIL MAZHAR,Laptop,2012,4,500,UK,5,35,Windows 8,Office 2010,McAfee 2012,1,0,1,1,0,1,1,,,,,
489842,AAQUIL MAZHAR,Desktop,2014,4,500,USA,2,19,Windows 8.1,Office 2013,McAfee 2014,1,0,0,1,0,1,0,,,,,
568639,AAQUIL MAZHAR,Desktop,2016,4,500,UK,2,56,Windows 10,Office 2016,McAfee 2016,0,1,0,1,0,0,1,,,,,
312460,AARAV SINGH,Desktop,2018,4,1000,India,2,45,Windows 10,Office 2016,McAfee 2018,0,1,0,0,0,0,0,,,,,
864596,AARAV SINGH,Desktop,2011,4,360,India,1,33,Windows 7,Office 2010,McAfee 2011,1,1,1,1,1,0,1,,,,,
296940,AARAV SINGH,Workstation,2017,8,500,India,2,58,Windows 10,Office 2016,McAfee 2017,1,1,1,1,0,0,1,,,,,
256139,AARAV SINGH,Desktop,2015,4,1000,India,1,20,Windows 10,Office 2013,McAfee 2015,1,1,0,1,0,1,1,,,,,
987864,AARYAMAN NIGAM,Laptop,2010,4,240,Russia,3,43,Windows 7,Office 2010,McAfee 2010,1,1,1,0,0,1,1,,,,,
478914,AARYAMAN NIGAM,Workstation,2012,4,360,China,3,23,Windows 8,Office 2010,McAfee 2012,1,1,1,0,0,0,0,,,,,
177648,AARYAMAN NIGAM,Laptop,2014,4,500,Russia,4,58,Windows 8.1,Office 2013,McAfee 2014,0,1,0,0,0,1,0,,,,,
850749,AARYAMAN NIGAM,Desktop,2016,4,2000,China,1,20,Windows 10,Office 2016,McAfee 2016,1,0,0,0,0,0,1,,,,,
454257,AARYAMAN NIGAM,Workstation,2009,2,180,China,2,55,Windows 7,Office 2007,McAfee 2009,0,0,1,1,0,0,1,,,,,
287207,AARYAMAN NIGAM,Desktop,2010,2,240,China,2,38,Windows 7,Office 2010,McAfee 2010,1,1,1,1,0,1,1,,,,,
541617,AARYAMAN NIGAM,Workstation,2014,4,500,Russia,2,34,Windows 8.1,Office 2013,McAfee 2014,0,1,1,1,0,0,0,,,,,
445606,AARYAMAN NIGAM,Laptop,2017,8,2000,Russia,4,48,Windows 10,Office 2016,McAfee 2017,0,0,0,1,1,0,0,,,,,
143781,AARYAN JANDYAL,Workstation,2012,4,360,USA,1,47,Windows 8,Office 2010,McAfee 2012,1,0,0,0,1,0,0,,,,,
814097,AARYAN JANDYAL,Workstation,2015,4,500,USA,1,38,Windows 10,Office 2013,McAfee 2015,0,1,0,0,1,0,0,,,,,
679925,AARYAN JANDYAL,Desktop,2016,4,1000,UAE,4,39,Windows 10,Office 2016,McAfee 2016,0,0,0,0,0,0,0,,,,,
547919,AARYAN JANDYAL,Laptop,2018,4,2000,USA,5,25,Windows 10,Office 2016,McAfee 2018,1,0,0,0,1,0,0,,,,,
159999,AARYAN JANDYAL,Laptop,2010,4,240,UAE,2,47,Windows 7,Office 2010,McAfee 2010,1,0,0,1,0,1,1,,,,,
413397,AARYAN JANDYAL,Desktop,2009,2,360,UAE,2,42,Windows 7,Office 2007,McAfee 2009,1,0,1,1,1,1,1,,,,,
514575,AARYAN JANDYAL,Laptop,2012,4,360,UAE,5,54,Windows 8,Office 2010,McAfee 2012,0,1,0,1,0,0,0,,,,,
562580,AARYAN JANDYAL,Laptop,2018,8,2000,USA,1,25,Windows 10,Office 2016,McAfee 2018,0,1,0,1,0,1,0,,,,,
272269,AASHISH BORA,Workstation,2012,4,360,Singapore,2,54,Windows 8,Office 2010,McAfee 2012,1,1,1,0,0,0,0,,,,,
686095,AASHISH BORA,Workstation,2018,8,2000,Singapore,5,24,Windows 10,Office 2016,McAfee 2018,1,0,0,0,0,1,0,,,,,
609963,AASHISH BORA,Workstation,2015,4,500,Singapore,5,35,Windows 10,Office 2013,McAfee 2015,0,1,0,1,0,1,0,,,,,
708150,AASHISH BORA,Laptop,2018,8,1000,Singapore,3,46,Windows 10,Office 2016,McAfee 2018,0,0,0,1,0,0,0,,,,,
112959,AASTHA VYAS,Desktop,2013,4,500,Canada,1,40,Windows 8.1,Office 2013,McAfee 2013,1,0,0,0,0,1,0,,,,,
615405,AASTHA VYAS,Laptop,2014,4,1000,China,1,56,Windows 8.1,Office 2013,McAfee 2014,1,0,0,0,1,0,0,,,,,
992191,AASTHA VYAS,Desktop,2017,4,1000,China,2,19,Windows 10,Office 2016,McAfee 2017,0,1,0,0,0,1,0,,,,,
732838,AASTHA VYAS,Desktop,2010,2,360,Canada,2,57,Windows 7,Office 2010,McAfee 2010,1,0,1,1,0,0,0,,,,,
329872,AASTHA VYAS,Workstation,2011,4,360,China,5,54,Windows 7,Office 2010,McAfee 2011,0,0,1,1,0,0,1,,,,,
674513,AASTHA VYAS,Laptop,2012,4,360,Canada,4,25,Windows 8,Office 2010,McAfee 2012,1,0,1,1,1,1,1,,,,,
315138,AASTHA VYAS,Workstation,2015,4,500,China,4,40,Windows 10,Office 2013,McAfee 2015,1,1,0,1,0,1,0,,,,,
507726,AASTHA VYAS,Desktop,2016,8,500,Canada,2,59,Windows 10,Office 2016,McAfee 2016,0,1,0,1,0,0,0,,,,,
572121,AAVYA SRIVASTAVA,Desktop,2011,4,360,India,4,42,Windows 7,Office 2010,McAfee 2011,1,1,1,0,1,1,1,,,,,
556152,AAVYA SRIVASTAVA,Workstation,2014,4,500,India,4,39,Windows 8.1,Office 2013,McAfee 2014,0,1,0,0,0,1,0,,,,,
813438,AAVYA SRIVASTAVA,Desktop,2016,8,1000,India,3,22,Windows 10,Office 2016,McAfee 2016,0,0,0,0,0,0,1,,,,,
390325,AAVYA SRIVASTAVA,Laptop,2018,4,1000,India,2,28,Windows 10,Office 2016,McAfee 2018,1,0,0,1,0,0,0,,,,,
432787,Aayoush Dubey,Desktop,2009,2,180,UK,3,20,Windows 7,Office 2007,McAfee 2009,1,0,1,0,1,1,0,,,,,
557323,Aayoush Dubey,Desktop,2011,2,360,UK,4,54,Windows 7,Office 2010,McAfee 2011,0,1,0,0,0,0,1,,,,,
362782,Aayoush Dubey,Laptop,2013,2,500,UK,4,51,Windows 8.1,Office 2013,McAfee 2013,1,1,0,0,0,0,1,,,,,
463792,Aayoush Dubey,Workstation,2014,4,500,USA,4,18,Windows 8.1,Office 2013,McAfee 2014,0,1,0,0,1,0,0,,,,,
219651,Aayoush Dubey,Laptop,2017,4,1000,USA,2,40,Windows 10,Office 2016,McAfee 2017,1,1,0,0,0,1,0,,,,,
520545,Aayoush Dubey,Laptop,2010,4,240,USA,1,22,Windows 7,Office 2010,McAfee 2010,1,1,0,1,1,0,1,,,,,
219119,Aayoush Dubey,Laptop,2014,4,500,USA,2,18,Windows 8.1,Office 2013,McAfee 2014,1,1,1,1,1,0,0,,,,,
668661,Aayoush Dubey,Desktop,2016,4,1000,UK,1,52,Windows 10,Office 2016,McAfee 2016,0,1,0,1,1,0,1,,,,,
451597,AAYUSH BHUVNESH GUPTA,Desktop,2010,4,240,UK,1,24,Windows 7,Office 2010,McAfee 2010,0,1,0,0,1,0,0,,,,,
771954,AAYUSH BHUVNESH GUPTA,Laptop,2011,2,360,USA,2,49,Windows 7,Office 2010,McAfee 2011,0,1,1,0,0,0,1,,,,,
654441,AAYUSH BHUVNESH GUPTA,Workstation,2012,4,360,UK,5,59,Windows 8,Office 2010,McAfee 2012,1,1,1,0,0,0,0,,,,,
211335,AAYUSH BHUVNESH GUPTA,Laptop,2015,4,500,USA,2,53,Windows 10,Office 2013,McAfee 2015,1,1,1,0,1,0,0,,,,,
391967,AAYUSH BHUVNESH GUPTA,Laptop,2016,4,1000,UK,4,31,Windows 10,Office 2016,McAfee 2016,0,1,0,0,1,0,0,,,,,
152394,AAYUSH BHUVNESH GUPTA,Laptop,2013,4,500,UK,5,21,Windows 8.1,Office 2013,McAfee 2013,1,1,0,1,0,1,0,,,,,
754548,AAYUSH BHUVNESH GUPTA,Laptop,2014,4,500,USA,1,45,Windows 8.1,Office 2013,McAfee 2014,1,1,0,1,0,0,0,,,,,
655136,AAYUSH BHUVNESH GUPTA,Laptop,2017,8,2000,USA,4,23,Windows 10,Office 2016,McAfee 2017,0,0,0,1,1,0,0,,,,,
252618,AAYUSH JAISWAL,Workstation,2015,16,360,India,2,29,Windows 10,Office 2013,McAfee 2015,1,0,1,0,0,0,0,,,,,
372347,AAYUSH JAISWAL,Laptop,2017,4,500,India,3,45,Windows 10,Office 2016,McAfee 2017,0,1,0,0,1,1,1,,,,,
348006,AAYUSH JAISWAL,Workstation,2011,4,180,India,4,21,Windows 7,Office 2010,McAfee 2011,1,0,1,1,1,0,1,,,,,
296929,AAYUSH JAISWAL,Desktop,2014,4,500,India,3,37,Windows 8.1,Office 2013,McAfee 2014,1,1,1,1,1,0,0,,,,,
310188,ABHIKRISHN MISHRA,Laptop,2011,2,360,USA,5,39,Windows 7,Office 2010,McAfee 2011,1,1,1,0,1,0,0,,,,,
510979,ABHIKRISHN MISHRA,Workstation,2015,4,500,France,5,45,Windows 10,Office 2013,McAfee 2015,1,1,0,0,0,0,0,,,,,
306441,ABHIKRISHN MISHRA,Workstation,2013,8,500,USA,4,55,Windows 8.1,Office 2013,McAfee 2013,0,0,1,0,0,0,1,,,,,
345162,ABHIKRISHN MISHRA,Desktop,2016,4,1000,USA,2,29,Windows 10,Office 2016,McAfee 2016,0,0,0,0,1,0,0,,,,,
620050,ABHIKRISHN MISHRA,Laptop,2009,2,180,USA,4,33,Windows 7,Office 2007,McAfee 2009,1,0,1,1,0,1,0,,,,,
269495,ABHIKRISHN MISHRA,Desktop,2011,2,360,France,1,22,Windows 7,Office 2010,McAfee 2011,1,1,1,1,0,0,1,,,,,
138889,ABHIKRISHN MISHRA,Desktop,2017,8,1000,France,5,19,Windows 10,Office 2016,McAfee 2017,0,0,0,1,1,0,0,,,,,
803589,ABHIKRISHN MISHRA,Workstation,2018,8,1000,France,1,50,Windows 10,Office 2016,McAfee 2018,0,0,0,1,1,0,0,,,,,
158352,ABHIMANYU KATARIA,Laptop,2010,2,180,India,4,57,Windows 7,Office 2010,McAfee 2010,1,1,0,0,0,1,0,,,,,
175059,ABHIMANYU KATARIA,Desktop,2014,4,500,India,5,24,Windows 8.1,Office 2013,McAfee 2014,1,0,0,0,0,0,0,,,,,
803718,ABHIMANYU KATARIA,Workstation,2017,4,1000,India,5,48,Windows 10,Office 2016,McAfee 2017,1,0,0,0,0,1,0,,,,,
353160,ABHIMANYU KATARIA,Workstation,2014,4,500,India,3,48,Windows 8.1,Office 2013,McAfee 2014,1,0,0,1,0,0,0,,,,,
771364,ABHIMANYU RANA,Laptop,2009,2,180,USA,3,21,Windows 7,Office 2007,McAfee 2009,0,0,0,0,0,1,1,,,,,
765031,ABHIMANYU RANA,Laptop,2010,2,240,USA,3,40,Windows 7,Office 2010,McAfee 2010,1,0,1,0,0,0,1,,,,,
887339,ABHIMANYU RANA,Workstation,2012,4,360,USA,2,32,Windows 8,Office 2010,McAfee 2012,1,0,1,0,1,1,0,,,,,
986072,ABHIMANYU RANA,Workstation,2013,4,500,France,1,44,Windows 8.1,Office 2013,McAfee 2013,1,1,1,0,0,1,1,,,,,
351479,ABHIMANYU RANA,Desktop,2016,4,1000,France,1,52,Windows 10,Office 2016,McAfee 2016,0,1,0,0,1,0,0,,,,,
442719,ABHIMANYU RANA,Laptop,2009,4,180,France,5,49,Windows 7,Office 2007,McAfee 2009,1,0,1,1,1,1,0,,,,,
164786,ABHIMANYU RANA,Workstation,2011,8,360,France,1,57,Windows 7,Office 2010,McAfee 2011,1,1,1,1,1,0,1,,,,,
464690,ABHIMANYU RANA,Workstation,2016,4,1000,USA,4,24,Windows 10,Office 2016,McAfee 2016,1,1,0,1,0,1,0,,,,,
954907,Abhinav garg,Desktop,2014,4,500,UK,2,51,Windows 8.1,Office 2013,McAfee 2014,1,1,1,0,0,0,0,,,,,
464358,Abhinav garg,Laptop,2018,4,1000,USA,3,48,Windows 10,Office 2016,McAfee 2018,1,1,0,0,1,0,0,,,,,
214017,Abhinav garg,Workstation,2017,8,1000,UK,2,31,Windows 10,Office 2016,McAfee 2017,0,0,0,0,0,0,1,,,,,
476827,Abhinav garg,Desktop,2010,4,240,UK,3,28,Windows 7,Office 2010,McAfee 2010,1,0,1,1,0,0,0,,,,,
268678,Abhinav garg,Laptop,2011,4,360,USA,3,36,Windows 7,Office 2010,McAfee 2011,1,0,1,1,0,0,0,,,,,
897726,Abhinav garg,Workstation,2014,4,360,UK,4,57,Windows 8.1,Office 2013,McAfee 2014,1,0,0,1,1,1,0,,,,,
666694,Abhinav garg,Workstation,2014,4,500,USA,5,33,Windows 8.1,Office 2013,McAfee 2014,0,0,0,1,1,1,1,,,,,
805967,Abhinav garg,Desktop,2016,16,1000,USA,4,43,Windows 10,Office 2016,McAfee 2016,0,0,0,1,0,1,0,,,,,
449101,ABHINAV GNYANU MURTHY BHARADWAJ,Laptop,2012,4,360,USA,3,23,Windows 8,Office 2010,McAfee 2012,1,1,1,0,1,0,0,,,,,
368974,ABHINAV GNYANU MURTHY BHARADWAJ,Workstation,2012,4,360,UAE,3,57,Windows 8,Office 2010,McAfee 2012,1,1,1,0,0,0,0,,,,,
988697,ABHINAV GNYANU MURTHY BHARADWAJ,Desktop,2015,4,500,USA,3,41,Windows 10,Office 2013,McAfee 2015,1,1,0,0,0,0,0,,,,,
678356,ABHINAV GNYANU MURTHY BHARADWAJ,Laptop,2018,4,1000,USA,3,23,Windows 10,Office 2016,McAfee 2018,0,0,0,0,0,1,0,,,,,
335563,ABHINAV GNYANU MURTHY BHARADWAJ,Laptop,2018,16,1000,USA,2,58,Windows 10,Office 2016,McAfee 2018,0,0,0,0,0,0,0,,,,,
242036,ABHINAV GNYANU MURTHY BHARADWAJ,Desktop,2009,4,180,UAE,4,26,Windows 7,Office 2007,McAfee 2009,1,1,1,1,0,1,0,,,,,
558606,ABHINAV GNYANU MURTHY BHARADWAJ,Desktop,2009,4,180,UAE,1,30,Windows 7,Office 2007,McAfee 2009,0,0,1,1,0,0,0,,,,,
638039,ABHINAV GNYANU MURTHY BHARADWAJ,Desktop,2015,4,500,UAE,5,27,Windows 10,Office 2013,McAfee 2015,1,1,0,1,0,0,0,,,,,
637571,ABHINAV KUMAR,Desktop,2015,4,360,USA,5,56,Windows 10,Office 2013,McAfee 2015,1,0,0,0,0,1,1,,,,,
698901,ABHINAV KUMAR,Laptop,2013,2,500,UK,1,22,Windows 8.1,Office 2013,McAfee 2013,0,1,1,0,0,1,0,,,,,
112847,ABHINAV KUMAR,Workstation,2013,4,500,UK,2,53,Windows 8.1,Office 2013,McAfee 2013,1,0,0,0,0,1,0,,,,,
175428,ABHINAV KUMAR,Workstation,2017,8,1000,USA,4,25,Windows 10,Office 2016,McAfee 2017,1,0,0,0,1,0,0,,,,,
935507,ABHINAV KUMAR,Workstation,2010,4,240,UK,4,19,Windows 7,Office 2010,McAfee 2010,0,1,1,1,0,0,0,,,,,
448239,ABHINAV KUMAR,Desktop,2011,4,360,USA,4,55,Windows 7,Office 2010,McAfee 2011,0,1,1,1,0,1,1,,,,,
619943,ABHINAV KUMAR,Desktop,2014,4,500,USA,3,44,Windows 8.1,Office 2013,McAfee 2014,1,0,1,1,0,0,0,,,,,
212721,ABHINAV KUMAR,Laptop,2017,4,1000,UK,3,59,Windows 10,Office 2016,McAfee 2017,1,0,0,1,1,0,0,,,,,
231007,ABHINAV MISHRA,Laptop,2010,4,240,UK,4,42,Windows 7,Office 2010,McAfee 2010,1,1,0,0,0,0,1,,,,,
334776,ABHINAV MISHRA,Desktop,2011,4,360,USA,4,22,Windows 7,Office 2010,McAfee 2011,1,0,1,0,0,1,1,,,,,
153884,ABHINAV MISHRA,Workstation,2015,8,500,USA,2,48,Windows 10,Office 2013,McAfee 2015,1,0,0,0,1,1,1,,,,,
638594,ABHINAV MISHRA,Laptop,2012,4,500,UK,1,29,Windows 8,Office 2010,McAfee 2012,0,0,1,1,0,1,0,,,,,
421210,ABHINAV MISHRA,Laptop,2013,4,500,UK,1,58,Windows 8.1,Office 2013,McAfee 2013,1,0,0,1,1,0,0,,,,,
827003,ABHINAV MISHRA,Laptop,2014,4,500,USA,3,31,Windows 8.1,Office 2013,McAfee 2014,1,0,0,1,1,1,1,,,,,
298846,ABHINAV MISHRA,Desktop,2016,4,1000,UK,4,23,Windows 10,Office 2016,McAfee 2016,1,1,0,1,0,0,0,,,,,
396703,ABHINAV MISHRA,Workstation,2017,8,1000,USA,2,43,Windows 10,Office 2016,McAfee 2017,0,0,0,1,0,0,0,,,,,
311825,ABHINAV RITURAJ,Desktop,2014,2,500,Japan,3,43,Windows 8.1,Office 2013,McAfee 2014,1,1,0,0,0,0,0,,,,,
711525,ABHINAV RITURAJ,Desktop,2015,4,500,Australia,1,36,Windows 10,Office 2013,McAfee 2015,0,0,0,0,1,0,0,,,,,
877705,ABHINAV RITURAJ,Laptop,2017,4,1000,Japan,2,45,Windows 10,Office 2016,McAfee 2017,1,1,0,0,1,0,0,,,,,
674777,ABHINAV RITURAJ,Desktop,2018,4,1000,Australia,1,59,Windows 10,Office 2016,McAfee 2018,0,1,0,0,0,1,0,,,,,
762314,ABHINAV RITURAJ,Laptop,2017,8,2000,Australia,5,27,Windows 10,Office 2016,McAfee 2017,1,1,0,0,0,1,0,,,,,
480568,ABHINAV RITURAJ,Workstation,2010,4,240,Japan,3,45,Windows 7,Office 2010,McAfee 2010,1,1,1,1,0,1,1,,,,,
141938,ABHINAV RITURAJ,Desktop,2011,4,360,Australia,1,21,Windows 7,Office 2010,McAfee 2011,0,0,1,1,0,1,0,,,,,
435055,ABHINAV RITURAJ,Workstation,2014,4,500,Japan,1,44,Windows 8.1,Office 2013,McAfee 2014,1,0,1,1,1,1,0,,,,,
660990,ABHINAV UTKARSH,Desktop,2013,2,500,Russia,2,22,Windows 8.1,Office 2013,McAfee 2013,1,0,0,0,0,1,0,,,,,
642916,ABHINAV UTKARSH,Workstation,2012,8,500,Russia,4,28,Windows 8,Office 2010,McAfee 2012,0,0,1,0,0,1,0,,,,,
405496,ABHINAV UTKARSH,Laptop,2010,8,240,Russia,3,58,Windows 7,Office 2010,McAfee 2010,1,0,1,1,0,1,0,,,,,
397683,ABHINAV UTKARSH,Desktop,2016,4,1000,Russia,4,55,Windows 10,Office 2016,McAfee 2016,0,1,0,1,0,0,0,,,,,
328378,ABHINAY BHATT,Laptop,2013,8,360,Singapore,2,58,Windows 8.1,Office 2013,McAfee 2013,1,0,1,0,1,1,0,,,,,
209151,ABHINAY BHATT,Laptop,2017,8,1000,Singapore,1,56,Windows 10,Office 2016,McAfee 2017,1,1,0,0,0,0,0,,,,,
296197,ABHINAY BHATT,Desktop,2010,4,240,Singapore,1,39,Windows 7,Office 2010,McAfee 2010,1,1,0,1,0,1,0,,,,,
487066,ABHINAY BHATT,Desktop,2013,8,500,Singapore,3,42,Windows 8.1,Office 2013,McAfee 2013,1,0,0,1,0,0,1,,,,,
111588,ABHISHEK ARORA,Desktop,2014,4,360,Russia,4,30,Windows 8.1,Office 2013,McAfee 2014,1,1,1,0,1,1,1,,,,,
566100,ABHISHEK ARORA,Workstation,2011,8,360,China,4,32,Windows 7,Office 2010,McAfee 2011,0,1,1,0,1,0,0,,,,,
122983,ABHISHEK ARORA,Laptop,2013,4,500,China,3,31,Windows 8.1,Office 2013,McAfee 2013,1,1,1,0,1,1,0,,,,,
890794,ABHISHEK ARORA,Desktop,2015,8,500,Russia,3,43,Windows 10,Office 2013,McAfee 2015,1,0,0,0,0,0,1,,,,,
